tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***15171,20240320,2,PARK - LONGER THAN 3 HOURS,30,0414,NR,32 LUNSFIELD CRES,,,ON
***53071,20240320,2,PARK - LONGER THAN 3 HOURS,30,0414,NR,33 TEALHAM DR,,,ON
***53895,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0414,NR,71 WINNIFRED AVE,,,ON
***06822,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0414,NR,13 BRITANNIA AVE,,,ON
***12172,20240320,2,PARK - LONGER THAN 3 HOURS,30,0415,NR,2 CAWTHRA SQ,,,ON
***06435,20240320,3,PARK ON PRIVATE PROPERTY,75,0415,AT,2885 BAYVIEW AVE,,,ON
***15172,20240320,2,PARK - LONGER THAN 3 HOURS,30,0415,NR,39 LUNSFIELD CRES,,,ON
***90175,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0415,NR,557 MILVERTON BLVD,,,ON
***53072,20240320,2,PARK - LONGER THAN 3 HOURS,30,0415,NR,33 TEALHAM DR,,,ON
***13771,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0415,NR,117 WOLSELEY ST,,,ON
***77373,20240320,3,PARK ON PRIVATE PROPERTY,75,0416,,22 APPLEWOOD LANE,,,PQ
***23054,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0416,OPP,454 QUEBEC AVE,,,ON
***11925,20240320,384,STOP VEH OTR THN BCYCL-BYCL LN,150,0416,NR,660 DUNDAS ST E,,,ON
***53073,20240320,2,PARK - LONGER THAN 3 HOURS,30,0416,NR,33 TEALHAM DR,,,ON
***06823,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0416,NR,9 BRITANNIA AVE,,,ON
***15173,20240320,2,PARK - LONGER THAN 3 HOURS,30,0417,OPP,44 LUNSFIELD CRES,,,ON
***06280,20240320,3,PARK ON PRIVATE PROPERTY,75,0417,AT,650 PARLIAMENT ST,,,ON
***53074,20240320,2,PARK - LONGER THAN 3 HOURS,30,0417,NR,33 TEALHAM DR,,,ON
***53896,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0417,E/S,CAROLINE AVE,S/O,QUEEN ST E,ON
***06824,20240320,192,STAND SIGNED TRANSIT STOP,150,0417,NR,2393 ST CLAIR AVE W,,,ON
***13772,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0417,NR,17 ROBINSON ST,,,ON
***15174,20240320,2,PARK - LONGER THAN 3 HOURS,30,0418,OPP,44 LUNSFIELD CRES,,,ON
***06281,20240320,3,PARK ON PRIVATE PROPERTY,75,0418,AT,650 PARLIAMENT ST,,,ON
***53075,20240320,2,PARK - LONGER THAN 3 HOURS,30,0418,NR,33 TEALHAM DR,,,ON
***53076,20240320,2,PARK - LONGER THAN 3 HOURS,30,0419,NR,33 TEALHAM DR,,,ON
***53077,20240320,2,PARK - LONGER THAN 3 HOURS,30,0420,NR,23 TEALHAM DR,,,ON
***53078,20240320,2,PARK - LONGER THAN 3 HOURS,30,0421,NR,23 TEALHAM DR,,,ON
***67078,20240320,2,PARK - LONGER THAN 3 HOURS,30,0421,NR,78 SLOLEY RD,,,ON
***76902,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0421,OPP,4 POPLAR PLAINS CRES,,,ON
***90176,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0422,NR,281 MILVERTON BLVD,,,ON
***56342,20240320,2,PARK - LONGER THAN 3 HOURS,30,0422,NR,23 TEALHAM DR,,,ON
***56343,20240320,2,PARK - LONGER THAN 3 HOURS,30,0422,NR,23 TEALHAM DR,,,ON
